All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,58.2033183197665,Yes,Yes,0,0
47,47,54.4916295095684,Yes,Yes,0,0
47,47,28.5778125016847,No,Yes,0,0
47,47,86.2263825657877,Yes,Yes,0,0
47,47,44.5431055419868,Yes,Yes,0,0
47,47,81.2727223048272,Yes,Yes,0,0
45,45,7.38833654195224,No,Yes,0,0
48.9,48.9,104.905758523555,Yes,Yes,0,0
45,45,8.0189205153513,No,Yes,0,0
47,47,15.6773265242494,No,Yes,0,0
47,47,22.0006983505406,No,Yes,0,0
48.9,48.9,127.164474893511,Yes,Yes,0,0
2,48.9,93.6723318536276,Yes,Yes,47.9,48.9
2,48.9,80.4532330785962,Yes,Yes,47.8,48.9
1,47.8,67.9445601045703,Yes,Yes,47.8,48.9
2,48.9,116.847294113349,Yes,Yes,47.4,48.9
1,47.4,66.4164100429042,Yes,Yes,47.4,48.9
1,47.2,46.0246932979969,Yes,Yes,47.2,48.9
1,47.2,44.0514810390139,Yes,Yes,47.2,48.9
1,47.2,23.0950440368968,No,Yes,47.2,48.9
2,48.9,90.6677527434154,Yes,Yes,47.3,48.9
1,47.3,12.4322573776733,No,Yes,47.3,48.9
2,48.9,76.9559306228208,Yes,Yes,47.5,48.9
2,48.9,105.006204955187,Yes,Yes,47.5,48.9
