All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,44.8139753954925,No,Yes,0,0
47,47,68.5171694091489,No,Yes,0,0
47,47,83.3547217897256,No,Yes,0,0
47,47,79.2904113538323,No,Yes,0,0
47,47,81.5375819414488,No,Yes,0,0
47,47,89.2377951271844,No,Yes,0,0
48.9,48.9,94.6281375377323,Yes,Yes,0,0
47,47,NaN,No,Yes,0,0
48.9,48.9,102.929938468061,Yes,No,0,0
45,45,36.0081756041122,No,Yes,0,0
45,45,45,No,Yes,0,0
47,47,48.8897460817477,No,Yes,0,0
2,48.8,98.0750279274978,Yes,No,47.9,48.8
1,47.8,98.9149269571479,Yes,No,47.8,47.8
1,47.4,48.2733158082567,No,Yes,47.4,46.6
1,47.6,42.8274538207699,No,Yes,47.6,46.9
2,47.1,35.5072175186542,No,Yes,47.8,47.1
2,47.2,44.4345994767312,No,Yes,47.8,47.2
1,47.8,94.3238927773681,Yes,No,47.8,47.3
2,47,39.0938588862295,No,Yes,47.8,47
2,47.1,44.0223512149702,No,Yes,47.8,47.1
2,47.1,92.6541955134066,Yes,Yes,47.8,47.1
1,48,94.752378514242,Yes,No,48,47.2
1,48,93.6744995208297,Yes,No,48,47.1
