All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,NaN,Yes,Yes,0,0
47,47,86.3531140098713,Yes,No,0,0
47,47,79.9697866802672,Yes,Yes,0,0
47,47,96.5483372804005,Yes,No,0,0
47,47,NaN,Yes,Yes,0,0
47,47,91.0028871420126,Yes,Yes,0,0
45,45,36.6419315563,Yes,Yes,0,0
48.9,48.9,88.9415378941513,Yes,No,0,0
45,45,33.9045235906549,Yes,Yes,0,0
47,47,77.1500935743473,Yes,No,0,0
47,47,33.9765440362569,Yes,Yes,0,0
48.9,48.9,78.6900675259798,Yes,No,0,0
2,46.9,72.653306877392,Yes,Yes,45,46.9
2,46.9,63.6008627786117,Yes,Yes,45,46.9
1,45,26.3975201354761,Yes,Yes,45,46.9
2,46.9,84.6678411183404,Yes,No,45,46.9
1,45,11.7321304030496,No,Yes,45,46.7
1,45.1,13.883291937197,No,Yes,45.1,46.7
1,45.8,29.1779267229122,Yes,Yes,45.8,46.7
1,45.6,30.4464272092875,Yes,Yes,45.6,46.7
2,46.7,60.9096381900381,Yes,Yes,45.5,46.7
1,45.5,33.6900675259798,Yes,Yes,45.5,46.8
2,46.8,78.7893668711233,Yes,Yes,45.4,46.8
2,46.8,78.5690373310228,Yes,Yes,45.4,46.8
